scientific_name,wikipedia_page,image_url,thumb_url,license,author,attribution_line,notes,approved
Psalmopoeus reduncus,https://en.wikipedia.org/wiki/Psalmopoeus_reduncus,https://upload.wikimedia.org/wikipedia/commons/e/e0/Psalmopoeus_reduncus_-_female_3.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Psalmopoeus_reduncus_-_female_3.jpg/330px-Psalmopoeus_reduncus_-_female_3.jpg,Attribution,Micha L. Rieser,Micha L. Rieser,LICENSE_NOT_ACCEPTED: Attribution,y
Pterinochilus chordatus,https://en.wikipedia.org/wiki/Pterinochilus_chordatus,https://upload.wikimedia.org/wikipedia/commons/c/c4/Pterinochilus_chordatus_Kenya.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Pterinochilus_chordatus_Kenya.jpg/330px-Pterinochilus_chordatus_Kenya.jpg,CC BY-SA 4.0,ChriKo,Own work,,y
Pterinochilus lugardi,https://en.wikipedia.org/wiki/Pterinochilus_lugardi,,,,,,NO_PAGE_IMAGE,y
Pterinochilus murinus,https://en.wikipedia.org/wiki/Pterinochilus_murinus,https://upload.wikimedia.org/wikipedia/commons/d/d3/Pterinochilus.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Pterinochilus.jpg/330px-Pterinochilus.jpg,CC BY-SA 2.0,Prianteltix,Cornered,,y
Pterinopelma sazimai,https://en.wikipedia.org/wiki/Lasiocyano,https://upload.wikimedia.org/wikipedia/commons/6/6b/Pterinopelma_sazimai.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Pterinopelma_sazimai.jpg/330px-Pterinopelma_sazimai.jpg,,,,NO_PAGEIMAGE_FILENAME,y
Selenocosmia crassipes,https://en.wikipedia.org/wiki/Selenocosmia_crassipes,https://upload.wikimedia.org/wikipedia/commons/2/2b/Selenocosmia_crassipes.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Selenocosmia_crassipes.jpg/330px-Selenocosmia_crassipes.jpg,CC BY-SA 3.0,Robertwhyteus at English Wikipedia,Robertwhyteus at English Wikipedia,,y
Sericopelma rubronitens,,,,,,,NO_WIKIPEDIA_PAGE,y
Stromatopelma calceatum,https://en.wikipedia.org/wiki/Stromatopelma_calceatum,https://upload.wikimedia.org/wikipedia/commons/3/36/Stromatopelma_calceatum_22509655.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Stromatopelma_calceatum_22509655.jpg/330px-Stromatopelma_calceatum_22509655.jpg,CC0,Simon Tonge,https://www.inaturalist.org/photos/22509655,,y
Tapinauchenius gigas,https://en.wikipedia.org/wiki/Tapinauchenius_gigas,,,,,,NO_PAGE_IMAGE,y
Tapinauchenius plumipes,https://en.wikipedia.org/wiki/Tapinauchenius_plumipes,https://upload.wikimedia.org/wikipedia/commons/f/f4/Tapinauchenius_violaceus.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Tapinauchenius_violaceus.jpg/330px-Tapinauchenius_violaceus.jpg,CC BY-SA 4.0,ArachnoVegan,Own work,,y
Tapinauchenius violaceus,,,,,,,NO_WIKIPEDIA_PAGE,y
Theraphosa apophysis,https://en.wikipedia.org/wiki/Theraphosa_apophysis,https://upload.wikimedia.org/wikipedia/commons/c/cc/Theraphosa_apophysis_%28Goliath_Pinkfoot_Tarantula%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Theraphosa_apophysis_%28Goliath_Pinkfoot_Tarantula%29.jpg/330px-Theraphosa_apophysis_%28Goliath_Pinkfoot_Tarantula%29.jpg,CC BY 4.0,JR Ferrer-Paris,https://www.inaturalist.org/photos/478530304,,y
Theraphosa blondi,https://en.wikipedia.org/wiki/Goliath_birdeater,https://upload.wikimedia.org/wikipedia/commons/f/fa/Theraphosa_blondi_MHNT.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Theraphosa_blondi_MHNT.jpg/330px-Theraphosa_blondi_MHNT.jpg,,,,NO_PAGEIMAGE_FILENAME,y
Theraphosa stirmi,https://en.wikipedia.org/wiki/Theraphosa_stirmi,https://upload.wikimedia.org/wikipedia/commons/3/3a/Theraphosa_stirmi.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Theraphosa_stirmi.jpg/330px-Theraphosa_stirmi.jpg,Public domain,Morkelsker,Own work,,y
Tliltocatl kahlenbergi,https://en.wikipedia.org/wiki/Tliltocatl_kahlenbergi,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Brachypelma_kahlenbergi.jpg/3840px-Brachypelma_kahlenbergi.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Brachypelma_kahlenbergi.jpg/330px-Brachypelma_kahlenbergi.jpg,CC BY-SA 4.0,Fucesa,Own work,,y
Tliltocatl vagans,https://en.wikipedia.org/wiki/Tliltocatl_vagans,https://upload.wikimedia.org/wikipedia/commons/4/4e/Red_Rump_Tarantula_%28Brachypelma_vagans%29_%286775815073%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Red_Rump_Tarantula_%28Brachypelma_vagans%29_%286775815073%29.jpg/330px-Red_Rump_Tarantula_%28Brachypelma_vagans%29_%286775815073%29.jpg,CC BY-SA 2.0,Bernard DUPONT from FRANCE,Red Rump Tarantula (Brachypelma vagans),,y
Xenesthis immanis,https://en.wikipedia.org/wiki/Xenesthis_immanis,https://upload.wikimedia.org/wikipedia/commons/4/44/Xenesthis_immanis.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Xenesthis_immanis.jpg/330px-Xenesthis_immanis.jpg,CC BY-SA 3.0,Peter coxhead,,,y
Xenesthis intermedia,,,,,,,NO_WIKIPEDIA_PAGE,y
Ybyrapora diversipes,https://en.wikipedia.org/wiki/Ybyrapora_diversipes,https://upload.wikimedia.org/wikipedia/commons/e/e2/Ybd.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Ybd.jpg/330px-Ybd.jpg,CC BY-SA 4.0,Quengsalinas,Own work,,y
